,f,c,正面,側面,斜面,高い,低い,近い,遠い,直線,曲線,森林,駅,畑,鉄橋,踏切,車両,,,,,,
2015/5/23,53,,,1,,,1,1,,1,,,1,,,,dc82,,,,,,
2015/5/22,49,,,,1,1,,1,,1,,,1,,,,ed78,,,,,,
2015/5/22,49,,,,1,1,,,1,1,,,1,,,,ed78,nimotu,,,,,
2015/5/21,41,3,1,,,,1,1,,1,,,,,1,,dc82,,,,,,
2015/5/19,35,,,1,,,1,1,,1,,,,,,,ed78,old_pc,,,,,
2015/5/18,39,,,,1,,1,1,,1,,,,,,,ef64_10,old_pc,,,,,
2015/5/17,38,2,,1,,,1,1,,1,,,,,1,,ef64_10,fre,,,,,
2015/5/12,52,,,1,,,1,1,,1,,,1,,,,ed78,24,,,,,
2015/5/11,42,,1,,,,1,1,,1,,,1,,,,ed78,old_pc,,,,,
2015/5/11,41,,,,1,,1,1,,1,,,,,1,,157,,,,,,
2015/5/10,47,,,,1,,1,,1,1,,1,,,1,,old_pc,,,,,,
2015/5/8,48,,,,1,,1,,1,1,,1,,,,,ed78,old_pc,,,,,
2015/5/8,54,,,,1,,1,1,,,1,,,,,,nimotu,,,,,,
2015/5/6,41,,,1,,,1,1,,,1,,,,,,dc91,,,,,,
2015/5/5,42,1,,,1,,1,,1,1,,,1,,1,,ef64_10,nimotu,,,,,
2015/5/4,46,,,,1,1,,1,,1,,,,,1,,157,,,,,,
2015/5/3,43,1,,,1,1,,1,,1,,,1,,,,dc91,,,,,,
2015/5/2,47,,,,1,,1,1,,1,,,,,,,ef64_10,old_pc,,,,,
2015/5/2,41,1,,1,,,1,1,,,1,,,,,,157,,,,,,
2015/4/30,46,,,1,,,1,1,,1,,,1,,,,115,,,,,,
2015/4/29,39,,,,1,,1,1,,1,,,,,1,,iida,,,,,,
2015/4/29,61,,,1,,,1,1,,1,,,1,,,,165,,,,,,
2015/4/28,44,,,1,,,1,1,,1,,,,,,,dd51,,,,,,
2015/4/27,49,,1,,,1,,1,,1,,,1,,,,fre,,,,,,
2015/4/26,31,1,,1,,,1,1,,1,,,,,1,,24,,,,,,
2015/4/24,47,,1,,,1,,1,,1,,,1,,,,115,fre,iida,,,,
2015/4/24,43,,1,,,,1,1,,1,,,,,1,,24,,,,,,
2015/4/23,37,,1,,,,1,1,,1,,,,,1,,415,,,,,,
2015/4/22,63,1,,,1,,1,1,,,1,,,,,,583,,,,,,
2015/4/20,34,,,1,,,1,1,,1,,,,,1,,415,,,,,,
2015/4/20,44,,1,,,1,,1,,1,,,1,,,,old_pc,,,,,,
2015/4/18,50,,,1,,,1,1,,1,,,,,,,d51,,,,,,
2015/4/17,46,,,1,,,1,1,,1,,,,,1,,d51,,,,,,
2015/4/16,47,,,,1,,1,1,,1,,,1,,,,old_pc,,,,,,
2015/4/15,56,,1,,,1,,,1,1,,,1,,,,d51,old_pc,dd51,fre,,,
2015/4/15,52,,,1,,,1,1,,1,,,,,,,dc58,fre,dd51,,,,
2015/4/14,36,,,,1,,1,1,,1,,,,,1,,d51,old_pc,,,,,
2015/4/13,44,,,,1,,1,1,,,1,,,,,,old_pc,,,,,,
2015/4/12,44,,1,,,,1,1,,1,,,1,,,,d51,old_pc,,,,,
2015/4/10,42,,,1,,,1,1,,1,,,,,1,,457,,,,,,
2015/4/9,57,,,,1,,1,1,,1,,,1,,,,iida,,,,,,
2015/4/9,31,,,,1,,1,1,,1,,,,,1,,ed75,24,,,,,
2015/4/8,44,1,,,1,1,,1,,1,,,1,,,,iida,,,,,,
2015/4/7,38,,,,1,,1,1,,1,,,1,,,,dc91,,,,,,
2015/4/5,49,1,,,1,,1,1,,1,,,,,1,,583,,,,,,
